,pokemon1_type,pokemon2_type,pokemon3_type,vulnerability
321,14,3,0,13
322,7,4,8,15
323,9,17,9,10
324,9,9,5,10
325,1,2,8,12
326,13,16,10,1
327,1,12,2,4
328,1,14,8,2
329,15,9,15,0
330,10,9,11,11
331,6,5,5,0
332,11,16,17,3
333,10,14,9,10
334,5,11,5,14
335,11,11,13,5
336,16,0,7,1
337,15,17,14,10
338,6,11,17,5
339,7,0,4,15
340,3,0,16,13
341,6,5,0,14
342,10,4,11,11
343,14,10,4,1
344,17,16,8,0
345,2,1,3,12
346,16,2,7,15
347,9,11,4,3
348,6,4,3,5
349,10,16,2,11
350,5,1,11,14
351,16,5,10,16
352,2,12,9,0
353,5,10,7,10
354,13,0,12,1
355,1,16,2,16
356,2,0,3,13
357,17,1,12,13
358,2,8,15,0
359,16,2,13,5
360,7,5,5,10
361,17,0,6,13
362,4,3,13,15
363,2,17,15,0
364,12,10,11,4
365,10,6,14,8
366,1,17,10,3
367,3,16,1,13
368,15,9,5,0
369,15,5,9,0
370,13,7,16,1
371,3,11,4,3
372,13,9,7,10
373,17,1,9,10
374,7,8,7,8
375,17,10,1,10
376,14,6,5,10
377,5,15,1,14
378,1,5,4,3
379,15,4,13,0
380,14,5,9,10
381,17,10,13,0
382,17,5,9,10
383,2,2,9,0
384,13,6,9,5
385,17,2,15,0
386,11,12,0,14
387,13,11,11,5
388,7,12,6,8
389,6,8,4,5
390,6,3,12,13
391,1,10,0,3
392,10,15,10,11
393,17,8,7,10
394,8,9,16,17
395,9,6,16,5
396,6,6,12,5
397,0,1,3,13
398,17,11,6,5
399,14,12,8,13
400,2,9,15,0
401,14,3,1,2
402,12,2,14,13
403,2,4,17,0
404,11,8,11,3
405,13,3,1,2
406,10,1,2,11
407,6,6,13,5
408,5,6,10,8
409,10,6,0,8
410,4,5,2,15
411,17,6,3,13
412,1,8,17,3
413,6,4,7,8
414,4,9,5,10
415,14,7,13,1
416,11,11,13,5
417,17,17,16,0
418,10,12,15,11
419,13,11,15,5
420,8,0,9,12
421,17,7,9,10
422,11,5,3,14
423,12,12,7,13
424,2,7,10,11
425,5,7,5,10
426,16,12,10,4
427,16,0,4,16
428,8,13,9,17
429,0,14,7,1
430,15,11,5,14
431,9,11,1,3
432,14,2,9,10
433,13,7,3,1
434,11,11,12,3
435,14,17,5,10
436,14,6,15,17
437,15,9,15,0
438,11,5,0,14
439,14,3,8,13
440,9,7,14,10
441,9,16,12,16
442,10,17,13,0
443,16,4,9,7
444,13,3,9,1
445,11,9,11,3
446,13,14,11,1
447,5,10,7,10
448,2,0,11,14
449,12,5,0,13
450,17,14,5,10
451,10,2,4,11
452,2,9,7,15
453,8,14,4,17
454,10,3,15,11
455,3,1,15,3
456,3,8,6,13
457,10,17,0,13
458,13,1,9,2
459,13,16,12,1
460,13,4,12,1
461,4,2,1,15
462,3,2,4,15
463,13,13,8,1
464,10,4,10,11
465,1,6,10,8
466,6,14,8,17
467,7,9,2,10
468,5,3,4,0
469,14,7,8,17
470,3,13,14,13
471,3,9,11,3
472,9,2,13,5
473,5,12,11,14
474,16,6,14,16
475,9,5,5,10
476,12,6,15,4
477,16,6,6,5
478,16,2,3,16
479,14,8,0,1
480,4,6,11,5
481,16,16,17,16
482,9,6,15,5
483,4,14,14,1
484,1,11,1,3
485,9,13,3,10
486,0,9,17,13
487,17,9,16,0
488,13,0,5,1
489,1,9,8,3
490,10,15,4,11
491,4,9,2,15
492,6,7,8,8
493,5,10,2,0
494,12,16,4,16
495,14,2,0,1
496,13,17,14,1
497,3,16,3,13
498,9,15,15,0
499,12,16,11,4
500,8,3,0,13
501,2,5,8,0
502,10,12,5,4
503,10,2,9,11
504,7,0,2,15
505,16,7,6,8
506,1,15,17,0
507,11,1,5,3
508,9,8,6,12
509,1,8,9,3
510,14,12,11,1
511,5,14,10,10
512,6,16,0,6
513,2,14,1,2
514,1,0,8,3
515,2,2,15,0
516,16,6,12,16
517,5,2,17,0
518,12,9,15,4
519,9,6,10,8
520,8,13,6,5
521,15,2,0,11
522,6,17,10,8
523,3,15,11,14
524,9,7,15,10
525,16,3,10,16
526,2,13,4,5
527,5,12,13,0
528,17,12,14,13
529,9,1,6,10
530,5,1,17,10
531,2,14,7,15
532,11,9,15,14
533,17,16,14,13
534,14,5,4,17
535,8,13,3,1
536,3,12,14,13
537,14,4,15,1
538,7,14,7,10
539,3,17,0,13
540,12,9,7,10
541,8,3,1,12
542,16,14,15,16
543,10,13,3,4
544,15,1,0,14
545,12,2,12,4
546,17,11,9,10
547,15,12,7,0
548,4,8,16,16
549,15,14,1,2
550,6,7,9,8
551,5,16,16,16
552,13,5,17,0
553,3,12,1,13
554,11,14,14,1
555,12,14,14,13
556,6,4,8,5
557,0,5,15,14
558,13,9,7,10
559,15,11,12,14
560,5,5,5,0
561,1,4,12,3
562,6,2,6,5
563,0,13,5,1
564,8,11,6,5
565,14,15,8,17
566,3,14,0,13
567,0,9,4,1
568,6,5,6,6
569,12,8,17,13
570,16,7,9,10
571,10,8,11,11
572,16,0,3,13
573,17,7,11,10
574,17,0,6,13
575,6,17,3,13
576,1,0,1,3
577,12,0,11,14
578,1,4,14,2
579,1,16,5,3
580,3,10,3,13
581,6,14,10,8
582,0,0,5,14
583,5,12,15,0
584,1,17,14,10
585,7,6,7,8
586,4,17,12,13
587,3,7,17,13
588,9,13,15,1
589,6,5,11,14
590,11,12,13,5
591,4,10,1,16
592,8,0,9,12
593,4,12,6,16
594,11,12,9,3
595,1,11,11,3
596,13,12,2,5
597,10,5,16,11
598,10,10,13,11
599,7,15,7,15
600,16,6,15,16
601,9,13,15,1
602,5,7,1,10
603,6,9,14,10
604,13,2,13,5
605,15,7,10,11
606,9,3,6,10
607,9,0,12,13
608,12,7,13,13
609,12,0,11,14
610,10,16,3,4
611,6,5,3,6
612,15,12,15,0
613,4,5,5,0
614,15,11,6,14
615,3,9,7,10
616,7,10,11,8
617,9,16,11,16
618,6,9,7,8
619,3,7,13,13
620,10,1,9,11
621,9,0,11,14
622,10,14,2,11
623,4,10,8,16
624,2,10,8,12
625,12,9,8,13
626,2,16,5,0
627,13,12,3,13
628,10,13,3,4
629,5,7,3,10
630,3,15,14,13
631,1,6,17,0
632,9,9,9,10
633,1,16,0,3
634,2,15,7,0
635,10,17,16,0
636,13,4,12,1
637,11,11,1,3
638,17,8,9,10
639,17,0,13,13
640,10,9,17,10
641,5,1,10,10
642,9,3,12,13
643,15,14,16,14
644,13,15,12,1
645,9,3,12,13
646,7,9,15,10
647,3,4,2,15
648,7,7,15,15
649,16,17,7,10
650,3,9,16,13
651,16,9,8,12
652,8,15,7,12
653,1,16,3,2
654,7,6,16,8
655,4,15,13,15
656,5,4,5,0
657,11,15,11,14
658,5,14,7,10
659,1,9,12,3
660,15,0,12,14
661,0,9,15,14
662,0,14,13,1
663,5,0,5,14
664,2,11,17,0
665,17,3,6,13
666,12,12,13,13
667,1,11,2,5
668,9,17,2,10
669,8,2,17,0
670,15,0,2,11
671,14,7,6,10
672,15,15,2,0
673,9,3,1,10
674,7,14,10,10
675,11,2,9,5
676,11,0,13,1
677,16,6,1,16
678,7,2,2,15
679,7,5,14,10
680,10,12,14,4
681,6,3,16,5
682,17,1,16,13
683,0,4,8,1
684,11,4,0,14
685,16,14,2,16
686,16,3,0,13
687,12,9,0,13
688,12,7,5,10
689,17,16,13,0
690,2,1,0,12
691,14,12,7,13
692,3,10,8,13
693,2,11,10,5
694,16,17,16,16
695,1,8,0,3
696,13,10,14,1
697,16,3,8,16
698,4,6,6,5
699,16,0,17,13
700,8,9,1,12
701,2,15,12,0
702,17,2,0,0
703,14,8,17,13
704,17,8,3,13
705,4,15,0,14
706,6,0,1,6
707,0,3,12,13
708,0,7,15,14
709,1,4,7,15
710,17,10,10,11
711,5,11,7,14
712,3,9,11,3
713,10,17,17,0
714,14,10,2,11
715,1,17,15,0
716,6,8,5,17
717,15,7,13,0
718,5,0,15,14
719,1,1,1,3
720,10,5,1,11
721,11,9,11,3
722,5,0,8,14
723,16,17,12,13
724,3,2,13,5
725,13,8,15,1
726,1,9,15,3
727,7,11,15,14
728,12,8,13,13
729,6,11,12,5
730,16,3,8,16
731,11,10,17,3
732,11,8,11,3
733,5,11,6,14
734,5,1,8,17
735,3,12,1,13
736,2,7,14,15
737,8,5,14,17
738,2,13,16,5
739,3,15,17,0
740,8,2,16,12
741,8,13,11,5
742,14,13,15,1
743,15,1,1,3
744,8,3,7,12
745,10,9,5,10
746,13,17,1,2
747,14,3,17,13
748,12,10,7,8
749,0,7,4,15
750,13,12,1,2
751,5,3,12,13
752,3,0,17,13
753,14,3,9,10
754,7,9,16,8
755,10,9,11,11
756,5,6,6,5
757,4,8,6,16
758,12,9,17,13
759,4,15,2,15
760,6,17,0,13
761,17,4,14,13
762,12,9,8,13
763,17,3,6,13
764,0,7,13,1
765,15,15,17,0
766,16,10,17,16
767,13,13,13,1
768,13,0,11,1
769,5,9,1,10
770,4,1,12,16
771,1,15,11,3
772,12,3,4,13
773,8,0,3,13
774,4,17,5,0
775,11,5,2,14
776,13,16,14,1
777,14,14,2,10
778,9,1,12,3
779,5,4,9,10
780,6,1,2,5
781,7,4,11,15
782,1,11,13,5
783,16,0,16,16
784,12,11,13,5
785,11,10,16,3
786,10,1,0,11
787,17,6,0,13
788,14,14,14,1
789,13,14,2,5
790,13,15,7,1
791,11,3,15,14
792,1,2,2,0
793,12,12,0,13
794,5,3,7,10
795,5,6,15,14
796,10,10,16,11
797,13,12,11,5
798,6,6,9,5
799,7,4,3,15
800,8,16,13,17
801,13,14,4,1
802,9,14,17,10
803,4,3,15,15
804,11,9,1,3
805,3,5,0,13
806,2,6,1,5
807,11,9,11,3
808,15,15,16,0
809,17,0,4,13
810,4,5,16,16
811,0,14,9,1
812,1,6,4,5
813,2,8,17,0
814,4,5,9,10
815,17,15,11,0
816,14,8,3,13
817,15,10,8,11
818,1,12,14,13
819,1,16,2,16
820,6,16,8,5
821,14,8,12,13
822,17,10,4,0
823,4,10,6,8
824,1,0,15,14
825,16,8,0,16
826,16,2,9,7
827,14,17,2,10
828,5,0,16,14
829,2,16,5,0
830,11,17,1,3
831,11,2,11,5
832,8,1,5,17
833,11,11,8,3
834,6,5,0,14
835,10,17,0,13
836,9,16,12,16
837,10,12,3,4
838,9,15,8,0
839,1,14,8,2
840,0,5,7,14
841,5,9,6,10
842,9,5,4,10
843,1,8,0,3
844,17,11,0,14
845,17,2,2,0
846,16,6,5,16
847,13,7,6,5
848,12,16,17,13
849,9,7,4,15
850,10,14,11,4
851,16,16,5,16
852,8,12,7,17
853,4,4,5,15
854,6,16,6,5
855,16,10,12,4
856,0,5,4,14
857,7,16,7,8
858,4,9,17,10
859,9,0,13,1
860,4,11,12,16
861,14,15,15,0
862,9,11,13,5
863,1,14,12,13
864,6,11,0,14
865,1,15,10,11
866,17,17,3,13
867,2,4,4,15
868,6,11,12,5
869,1,1,1,3
870,5,4,2,0
871,4,6,0,16
872,10,1,3,4
873,12,16,8,13
874,3,7,14,13
875,1,14,2,2
876,11,6,9,5
877,13,11,12,5
878,17,3,2,0
879,9,2,2,0
880,14,3,0,13
881,0,4,15,14
882,9,1,3,10
883,1,1,6,3
884,9,15,1,11
885,0,3,9,13
886,12,0,2,13
887,9,12,2,4
888,15,14,1,2
889,15,7,14,10
890,11,7,11,3
891,11,4,10,3
892,4,8,14,17
893,17,1,10,10
894,16,2,3,16
895,3,9,14,13
896,8,1,4,12
897,15,9,7,10
898,14,5,16,17
899,6,7,10,8
900,3,8,16,13
901,7,6,11,8
902,0,17,12,13
903,6,9,0,6
904,10,12,6,4
905,1,2,11,5
906,2,4,8,12
907,9,1,12,3
908,7,13,6,8
909,4,0,7,15
910,10,6,4,8
911,8,6,6,5
912,6,12,7,8
913,3,2,9,0
914,10,2,3,11
915,1,11,11,3
916,15,8,0,14
917,13,8,17,1
918,14,12,7,13
919,2,9,14,10
920,5,7,15,0
921,10,10,3,4
922,16,15,5,0
923,9,14,1,10
924,2,16,7,15
925,17,4,10,0
926,2,9,3,0
927,5,17,4,0
928,14,9,15,10
929,14,6,14,10
930,16,3,13,16
931,4,12,3,13
932,13,3,5,1
933,6,7,4,8
934,11,2,13,5
935,10,0,15,11
936,9,16,0,16
937,8,13,3,1
938,0,16,5,14
939,3,2,4,15
940,2,11,6,5
941,16,10,16,16
942,15,10,7,11
943,15,7,15,0
944,3,2,0,13
945,2,9,13,5
946,12,1,11,3
947,2,10,17,0
948,1,10,1,3
949,13,1,7,2
950,13,2,10,5
951,9,2,1,10
952,3,8,8,12
953,13,17,12,13
954,9,9,5,10
955,14,15,16,1
956,12,8,0,13
957,1,0,6,13
958,11,17,3,13
959,2,3,15,0
960,0,16,8,1
961,11,0,3,14
962,17,17,1,10
963,16,9,2,7
964,13,3,0,1
965,15,14,3,13
966,2,9,9,10
967,2,12,11,5
968,7,0,13,1
969,6,1,6,6
970,3,9,4,13
971,15,1,7,11
972,1,15,14,2
973,1,4,5,3
974,13,12,10,4
975,5,4,12,0
976,2,14,5,10
977,17,5,17,0
978,15,6,12,11
979,2,12,15,0
980,8,3,10,12
981,1,3,3,13
982,3,0,9,13
983,13,7,5,10
984,8,2,9,12
985,0,4,9,1
986,10,13,6,8
987,9,3,3,13
988,11,5,10,14
989,15,0,10,11
990,8,3,4,12
991,1,15,0,14
992,7,13,10,8
993,8,6,12,17
994,1,9,4,3
995,14,2,10,11
996,15,4,0,14
997,8,13,7,17
998,3,8,0,13
999,2,10,11,5
1000,0,6,2,5
1001,9,8,1,12
1002,2,16,16,16
1003,13,5,8,17
1004,4,9,10,10
1005,1,12,1,3
1006,2,8,2,12
1007,13,5,2,0
1008,3,10,5,13
1009,3,11,0,14
1010,14,8,13,1
1011,4,0,1,16
1012,15,16,2,0
1013,8,2,7,12
1014,14,13,6,5
1015,6,0,3,13
1016,13,4,7,15
1017,12,8,3,13
1018,15,11,13,5
1019,6,16,16,16
1020,12,13,2,5
1021,0,6,2,5
1022,8,4,6,12
1023,8,0,15,14
1024,7,4,3,15
1025,14,9,15,10
1026,5,3,16,0
1027,15,5,8,0
1028,15,10,0,11
1029,6,12,15,5
1030,7,5,11,14
1031,6,10,3,8
1032,17,1,8,13
1033,11,11,10,3
1034,1,10,2,11
1035,10,13,3,4
1036,6,4,17,16
1037,5,12,3,13
1038,0,1,4,13
1039,10,16,14,4
1040,5,13,2,0
1041,2,15,16,0
1042,7,7,17,10
1043,12,0,13,13
1044,16,0,7,1
1045,16,4,17,16
1046,14,10,7,10
1047,16,0,11,14
1048,3,9,1,13
1049,17,17,2,0
1050,8,3,4,12
1051,6,14,12,13
1052,14,8,4,17
1053,1,8,8,12
1054,0,3,8,13
1055,12,7,10,8
1056,17,12,0,13
1057,8,10,1,12
1058,14,7,14,10
1059,13,3,10,1
1060,6,14,16,5
1061,11,5,12,14
1062,3,2,17,0
1063,1,4,15,3
1064,3,9,15,0
1065,15,11,0,14
1066,15,2,13,0
1067,15,9,10,11
1068,10,13,9,11
1069,2,10,17,0
1070,5,10,0,14
1071,7,6,14,10
1072,4,11,10,16
1073,15,3,6,14
1074,3,12,8,13
1075,11,16,15,14
1076,10,10,12,4
1077,6,15,2,5
1078,3,8,4,13
1079,12,14,3,13
1080,10,11,10,11
1081,4,9,11,7
1082,14,17,1,10
1083,13,0,7,1
1084,2,10,7,11
1085,12,17,8,13
1086,13,12,13,1
1087,10,12,2,11
1088,8,10,10,11
1089,13,7,10,8
1090,15,4,16,16
1091,17,0,14,13
1092,15,5,13,0
1093,14,9,2,10
1094,5,10,9,10
1095,2,8,8,12
1096,13,13,0,1
1097,14,0,4,1
1098,4,3,7,15
1099,1,10,4,3
1100,5,0,1,14
1101,14,8,7,17
1102,15,0,8,14
1103,14,13,7,1
1104,2,15,12,0
1105,13,8,17,1
1106,0,0,9,1
1107,5,8,4,17
1108,15,9,6,11
1109,15,7,7,10
1110,3,9,15,0
1111,13,9,10,1
1112,12,2,7,15
1113,1,16,14,2
1114,10,14,13,1
1115,9,10,6,8
1116,10,2,9,11
1117,6,16,15,5
1118,9,14,11,10
1119,15,1,10,11
1120,10,7,6,8
1121,17,11,0,14
1122,16,10,4,16
1123,13,5,2,0
1124,1,3,17,13
1125,14,1,0,13
1126,13,8,9,1
1127,17,2,11,0
1128,8,9,8,12
1129,0,6,15,14
1130,14,16,4,16
1131,17,1,1,3
1132,7,14,15,10
1133,9,12,10,4
1134,8,7,14,17
1135,11,1,17,3
1136,15,16,3,0
1137,0,8,14,1
1138,15,9,5,0
1139,10,6,10,8
1140,12,9,16,13
1141,8,6,14,17
1142,10,16,14,4
1143,12,17,14,13
1144,15,7,15,0
1145,10,14,16,4
1146,13,11,14,1
1147,14,12,17,13
1148,1,2,5,0
1149,8,8,6,12
1150,8,10,7,8
1151,1,10,17,3
1152,1,13,3,2
1153,10,3,1,4
1154,16,11,7,3
1155,16,15,1,16
1156,8,5,16,17
1157,2,3,17,0
1158,13,5,6,5
1159,17,10,16,0
1160,16,3,3,13
1161,17,0,15,14
1162,1,3,0,13
1163,11,17,8,3
1164,13,4,1,2
1165,3,3,3,13
1166,12,6,9,13
1167,7,0,13,1
1168,6,16,14,5
1169,17,13,6,5
1170,13,11,16,5
1171,17,0,0,13
1172,11,0,10,14
1173,3,3,15,13
1174,7,9,13,10
1175,9,15,16,0
1176,1,7,1,3
1177,3,13,14,13
1178,1,3,7,2
1179,13,4,1,2
1180,11,17,4,3
1181,1,1,4,3
1182,2,15,4,0
1183,5,1,12,14
1184,14,10,6,8
1185,17,8,16,0
1186,9,13,7,10
1187,13,8,6,5
1188,1,1,13,2
1189,0,7,14,1
1190,9,17,6,10
1191,13,11,6,5
1192,12,4,15,15
1193,8,3,12,13
1194,9,17,11,10
1195,16,6,17,16
1196,5,2,0,14
1197,12,13,10,4
1198,1,5,5,0
1199,13,1,9,2
1200,15,11,1,14
1201,1,13,14,2
1202,7,11,12,3
1203,13,5,14,1
1204,13,13,2,5
1205,3,9,0,13
1206,9,17,2,10
1207,3,2,1,12
1208,9,0,12,13
1209,16,13,1,2
1210,1,15,16,3
1211,14,6,13,5
1212,1,15,1,3
1213,6,7,15,8
1214,12,17,12,13
1215,9,10,5,10
1216,12,3,15,13
1217,10,4,11,11
1218,15,10,13,11
1219,3,11,1,3
1220,3,8,14,13
1221,1,9,11,3
1222,5,4,13,0
1223,11,9,2,5
1224,4,7,3,15
1225,5,8,1,17
1226,12,1,8,13
1227,11,6,16,5
1228,9,1,10,10
1229,13,2,0,1
1230,1,5,13,2
1231,3,7,1,13
1232,16,15,16,16
1233,6,3,0,13
1234,12,8,9,13
1235,13,16,8,1
1236,7,15,16,8
1237,7,4,9,15
1238,5,16,4,16
1239,6,9,14,10
1240,5,5,3,0
1241,13,5,6,5
1242,4,5,8,17
1243,17,15,0,14
1244,17,15,12,0
1245,9,1,16,3
1246,9,10,5,10
1247,13,7,13,1
1248,11,3,12,13
1249,1,10,17,3
1250,15,2,10,11
1251,3,17,9,13
1252,10,4,10,11
1253,12,7,16,13
1254,12,8,2,12
1255,12,17,10,13
1256,6,16,6,5
1257,16,5,15,0
1258,4,13,6,5
1259,5,11,4,14
1260,11,12,3,13
1261,12,3,9,13
1262,16,6,1,16
1263,3,16,9,13
1264,16,16,2,16
1265,10,15,12,11
1266,3,1,3,13
1267,16,12,10,4
1268,4,13,10,16
1269,9,12,3,13
1270,0,6,5,14
1271,9,7,12,10
1272,4,6,8,16
1273,6,15,9,5
1274,6,13,2,5
1275,13,10,5,1
1276,11,2,2,5
1277,10,4,0,11
1278,17,11,15,0
1279,11,11,10,3
1280,12,1,8,13
1281,6,14,6,5
1282,9,12,15,4
1283,15,9,5,0
1284,4,13,0,1
1285,5,15,13,0
1286,8,13,10,17
1287,9,0,8,1
1288,1,4,15,3
1289,4,16,0,16
1290,11,10,10,11
1291,2,5,13,0
1292,10,12,8,4
1293,4,11,12,16
1294,16,13,1,2
1295,1,3,8,2
1296,4,4,4,15
1297,16,15,2,0
1298,6,15,3,5
1299,4,11,9,7
1300,13,11,14,1
1301,10,16,9,11
1302,13,0,3,1
1303,2,17,5,0
1304,4,3,0,13
1305,2,0,2,12
1306,17,16,14,13
1307,2,9,1,12
1308,5,10,5,0
1309,5,0,10,14
1310,8,3,10,12
1311,14,14,9,10
1312,9,11,0,14
1313,9,9,11,10
1314,6,7,12,8
1315,8,13,13,1
1316,15,6,13,5
1317,14,2,12,13
1318,8,4,14,17
1319,1,2,1,3
1320,11,14,10,3
1321,13,4,0,1
1322,12,11,11,3
1323,1,2,10,11
1324,3,10,0,13
1325,11,9,9,10
1326,11,8,1,3
1327,16,12,0,13
1328,4,1,1,3
1329,5,3,0,14
1330,7,3,10,8
1331,5,16,12,0
1332,6,4,15,5
1333,10,5,4,11
1334,7,3,10,8
1335,1,5,0,14
1336,3,5,3,13
1337,13,11,4,5
1338,7,12,14,13
1339,0,11,12,14
1340,10,10,11,11
1341,6,16,1,6
1342,10,15,15,11
1343,6,13,15,5
1344,7,1,14,10
1345,11,5,13,5
1346,1,2,3,0
1347,15,12,16,0
1348,13,12,9,1
1349,4,3,10,16
1350,10,9,14,10
1351,1,9,13,2
1352,3,5,14,13
1353,6,5,7,8
1354,5,1,17,10
1355,7,8,9,10
1356,16,0,1,16
1357,2,13,9,5
